input_size,repetition_num,comparisons_num
100,0,866
100,1,741
100,2,880
100,3,896
100,4,740
100,5,739
100,6,798
100,7,725
100,8,787
100,9,795
100,10,727
1100,0,12750
1100,1,13156
1100,2,13864
1100,3,13321
1100,4,13495
1100,5,14314
1100,6,12517
1100,7,13732
1100,8,13727
1100,9,14149
1100,10,12752
2100,0,28910
2100,1,27382
2100,2,26698
2100,3,26975
2100,4,29020
2100,5,26906
2100,6,28437
2100,7,28830
2100,8,27566
2100,9,28529
2100,10,26497
3100,0,42863
3100,1,42399
3100,2,40594
3100,3,40643
3100,4,43478
3100,5,40926
3100,6,38306
3100,7,41391
3100,8,44867
3100,9,39685
3100,10,43897
4100,0,60259
4100,1,59500
4100,2,57735
4100,3,55463
4100,4,55440
4100,5,56653
4100,6,56331
4100,7,56471
4100,8,55028
4100,9,61649
4100,10,54083
5100,0,69897
5100,1,69718
5100,2,74923
5100,3,75250
5100,4,72030
5100,5,67335
5100,6,71426
5100,7,73441
5100,8,76148
5100,9,79170
5100,10,74866
6100,0,85142
6100,1,83628
6100,2,93862
6100,3,92334
6100,4,87056
6100,5,90200
6100,6,87854
6100,7,92186
6100,8,93797
6100,9,89552
6100,10,93249
7100,0,114443
7100,1,108431
7100,2,104240
7100,3,100352
7100,4,102265
7100,5,102217
7100,6,104502
7100,7,108217
7100,8,101582
7100,9,104006
7100,10,108189
8100,0,117347
8100,1,117343
8100,2,120309
8100,3,119920
8100,4,119446
8100,5,122008
8100,6,124070
8100,7,119014
8100,8,126635
8100,9,121384
8100,10,125501
9100,0,148800
9100,1,148837
9100,2,138119
9100,3,134111
9100,4,133738
9100,5,131980
9100,6,131801
9100,7,138090
9100,8,141799
9100,9,130838
9100,10,138345
