n,iters
100,789
100,747
100,784
100,781
100,797
100,828
100,750
100,805
100,794
100,742
100,814
100,762
100,780
100,723
100,811
100,759
100,773
100,735
100,778
100,776
100,754
100,762
100,776
100,772
100,753
100,761
100,747
100,739
100,747
100,774
100,780
100,764
100,802
100,804
100,797
100,741
100,804
100,816
100,767
100,791
100,822
100,789
100,777
100,778
100,808
100,799
100,745
100,807
100,732
100,767
100,781
100,768
100,780
100,755
100,768
100,792
100,777
100,768
100,789
100,814
100,753
100,774
100,736
100,785
100,776
100,746
100,717
100,763
100,750
100,774
100,753
100,769
100,774
100,816
100,816
100,790
100,758
100,765
100,811
100,777
100,783
100,787
100,811
100,766
100,737
100,816
100,760
100,773
100,783
100,756
100,767
100,726
100,738
100,754
100,754
100,788
100,769
100,803
100,763
100,797
100,821
100,753
100,760
100,776
100,747
100,801
100,758
100,764
100,790
100,765
100,797
100,789
100,746
100,785
100,793
100,732
100,781
100,783
100,782
100,766
100,803
100,797
100,780
100,792
100,771
100,767
100,753
100,781
100,785
100,780
100,746
100,774
100,775
100,780
100,796
100,786
100,792
100,784
100,792
100,759
100,760
100,781
100,761
100,771
100,801
100,769
100,777
100,759
100,813
100,773
100,834
100,767
100,791
100,796
100,772
100,768
100,803
100,759
100,757
100,788
100,792
100,797
100,757
100,777
100,746
100,788
100,784
100,759
100,806
100,766
100,761
100,752
100,782
100,775
100,777
100,764
100,801
100,780
100,756
100,748
100,814
100,768
100,789
100,760
100,758
100,783
100,785
100,766
100,724
100,777
100,807
100,772
100,768
100,792
100,793
100,756
100,768
100,759
100,809
100,783
100,804
100,762
100,778
100,777
100,777
100,805
100,784
100,750
100,758
100,800
100,777
100,775
100,752
100,784
100,798
100,760
100,783
100,797
100,814
100,795
100,754
100,774
100,779
100,768
100,791
100,794
100,725
100,797
100,749
100,731
100,796
100,753
100,762
100,819
100,762
100,769
100,781
100,756
100,789
100,788
100,805
100,795
100,789
100,797
100,788
100,776
100,763
100,849
100,743
100,776
100,775
100,744
100,776
100,741
100,768
100,810
100,754
100,768
100,801
100,795
100,764
100,788
100,798
100,763
100,777
100,768
100,774
100,742
100,800
100,789
100,768
100,765
100,780
100,810
100,780
100,777
100,806
100,743
100,802
100,762
100,802
100,734
100,767
100,792
100,767
100,790
100,732
100,754
100,810
100,726
100,766
100,769
100,777
100,774
100,789
100,771
100,755
100,788
100,759
100,859
100,793
100,745
100,783
100,780
100,772
100,779
100,786
100,785
100,818
100,797
100,745
100,762
100,835
100,798
100,788
100,783
100,799
100,740
100,829
100,742
100,795
100,744
100,784
100,793
100,779
100,806
100,748
100,768
100,790
100,729
100,738
100,748
100,758
100,795
100,762
100,760
100,769
100,821
100,791
100,773
100,810
100,798
100,838
100,755
100,745
100,782
100,789
100,777
100,787
100,788
100,780
100,787
100,728
100,775
100,784
100,784
100,739
100,798
100,768
100,750
100,764
100,776
100,781
100,782
100,762
100,763
100,760
100,804
100,794
100,756
100,805
100,769
100,782
100,766
100,789
100,783
100,794
100,803
100,734
100,777
100,764
100,770
100,779
100,789
100,783
100,747
100,756
100,761
100,781
100,823
100,790
100,762
100,775
100,807
100,735
100,756
100,766
100,782
100,780
100,794
100,762
100,789
100,758
100,781
100,793
100,788
100,754
100,788
100,813
100,743
100,812
100,801
100,791
100,780
100,777
100,775
100,788
100,764
100,785
100,799
100,816
100,777
100,787
100,776
100,780
100,744
100,784
100,794
100,833
100,774
100,761
100,821
100,762
100,810
100,778
100,768
100,787
100,753
100,752
100,805
100,783
100,769
100,768
100,786
100,831
100,781
100,804
100,821
100,761
100,763
100,767
100,770
100,800
100,775
100,789
100,768
100,783
100,778
100,753
100,773
100,802
100,760
100,777
100,761
100,749
100,780
100,810
100,776
100,807
100,797
100,809
100,782
100,794
100,776
100,772
100,820
100,753
100,801
100,784
100,754
100,760
100,774
100,754
100,794
100,793
100,772
100,765
100,727
100,788
100,780
100,766
100,778
100,744
100,771
100,793
100,781
100,791
100,765
100,723
100,744
200,1587
200,1559
200,1596
200,1597
200,1559
200,1608
200,1543
200,1555
200,1565
200,1547
200,1550
200,1569
200,1529
200,1610
200,1578
200,1561
200,1598
200,1549
200,1503
200,1622
200,1577
200,1588
200,1610
200,1576
200,1584
200,1554
200,1609
200,1525
200,1535
200,1558
200,1538
200,1585
200,1592
200,1643
200,1582
200,1576
200,1558
200,1580
200,1606
200,1574
200,1562
200,1600
200,1566
200,1562
200,1577
200,1568
200,1581
200,1561
200,1613
200,1557
200,1544
200,1549
200,1577
200,1515
200,1514
200,1540
200,1569
200,1520
200,1562
200,1591
200,1527
200,1570
200,1578
200,1615
200,1632
200,1558
200,1603
200,1581
200,1556
200,1578
200,1609
200,1565
200,1621
200,1514
200,1607
200,1561
200,1580
200,1520
200,1597
200,1575
200,1563
200,1607
200,1568
200,1573
200,1547
200,1631
200,1601
200,1562
200,1552
200,1528
200,1526
200,1543
200,1581
200,1586
200,1589
200,1558
200,1615
200,1560
200,1622
200,1605
200,1621
200,1554
200,1543
200,1573
200,1534
200,1516
200,1558
200,1580
200,1595
200,1563
200,1523
200,1593
200,1549
200,1557
200,1562
200,1610
200,1533
200,1530
200,1584
200,1598
200,1540
200,1614
200,1571
200,1553
200,1590
200,1601
200,1490
200,1524
200,1534
200,1547
200,1584
200,1576
200,1555
200,1580
200,1521
200,1555
200,1541
200,1541
200,1629
200,1613
200,1553
200,1637
200,1565
200,1629
200,1562
200,1628
200,1525
200,1544
200,1546
200,1576
200,1568
200,1583
200,1566
200,1574
200,1571
200,1548
200,1546
200,1574
200,1567
200,1532
200,1542
200,1619
200,1636
200,1526
200,1547
200,1602
200,1574
200,1512
200,1593
200,1507
200,1630
200,1566
200,1582
200,1621
200,1593
200,1534
200,1592
200,1609
200,1575
200,1584
200,1625
200,1601
200,1552
200,1576
200,1535
200,1555
200,1534
200,1516
200,1532
200,1569
200,1574
200,1593
200,1627
200,1593
200,1584
200,1583
200,1542
200,1581
200,1578
200,1531
200,1532
200,1591
200,1569
200,1510
200,1609
200,1591
200,1562
200,1498
200,1542
200,1614
200,1624
200,1570
200,1560
200,1609
200,1618
200,1581
200,1585
200,1545
200,1555
200,1631
200,1587
200,1562
200,1574
200,1513
200,1571
200,1570
200,1516
200,1593
200,1522
200,1528
200,1583
200,1562
200,1565
200,1504
200,1541
200,1555
200,1543
200,1587
200,1592
200,1547
200,1572
200,1511
200,1558
200,1537
200,1574
200,1568
200,1565
200,1500
200,1564
200,1528
200,1603
200,1537
200,1530
200,1556
200,1553
200,1617
200,1550
200,1546
200,1588
200,1519
200,1565
200,1547
200,1630
200,1593
200,1576
200,1541
200,1579
200,1534
200,1551
200,1582
200,1502
200,1582
200,1556
200,1585
200,1570
200,1543
200,1539
200,1648
200,1579
200,1570
200,1569
200,1472
200,1583
200,1598
200,1586
200,1566
200,1579
200,1558
200,1600
200,1579
200,1552
200,1550
200,1542
200,1589
200,1579
200,1597
200,1629
200,1569
200,1537
200,1577
200,1560
200,1561
200,1563
200,1521
200,1603
200,1532
200,1510
200,1568
200,1554
200,1606
200,1580
200,1553
200,1538
200,1564
200,1551
200,1586
200,1627
200,1564
200,1625
200,1515
200,1535
200,1644
200,1582
200,1582
200,1580
200,1594
200,1534
200,1568
200,1547
200,1546
200,1559
200,1620
200,1591
200,1535
200,1529
200,1566
200,1569
200,1570
200,1591
200,1561
200,1575
200,1534
200,1531
200,1567
