n,iters
100,27855
100,48064
100,42416
100,33069
100,26569
100,37513
100,29548
100,36409
100,28967
100,35641
100,28422
100,29363
100,35477
100,43219
100,32011
100,32251
100,31095
100,32336
100,28986
100,27164
100,66653
100,48322
100,41472
100,49457
100,31920
100,38289
100,39886
100,28893
100,30798
100,46766
100,32882
100,27827
100,31923
100,28232
100,33102
100,29976
100,30985
100,28213
100,30518
100,41836
100,48418
100,31899
100,37844
100,39991
100,29227
100,34707
100,42071
100,35470
100,30312
100,29550
100,52399
100,37831
100,43057
100,33642
100,35928
100,29514
100,27201
100,34291
100,31201
100,31564
100,37126
100,50434
100,29917
100,57019
100,43288
100,32989
100,30461
100,34448
100,30401
100,36096
100,28307
100,47758
100,36163
100,59028
100,33850
100,30745
100,32040
100,30317
100,29688
100,34344
100,35269
100,33413
100,36793
100,35431
100,33894
100,30584
100,38212
100,38290
100,39549
100,45587
100,44795
100,30243
100,38488
100,29739
100,46584
100,35046
100,27021
100,35234
100,31094
100,45519
100,40373
100,32478
100,33387
100,36717
100,59960
100,34766
100,40958
100,31674
100,33249
100,30642
100,32306
100,38855
100,30176
100,47844
100,32575
100,34635
100,40486
100,38275
100,31800
100,35904
100,33451
100,32405
100,28776
100,49485
100,38822
100,34673
100,28393
100,30878
100,27315
100,37873
100,34643
100,26805
100,39928
100,36871
100,31921
100,58740
100,32126
100,37938
100,35549
100,31237
100,42062
100,32784
100,35056
100,26707
100,31786
100,32710
100,28910
100,30756
100,28155
100,33247
100,33933
100,34061
100,28730
100,30367
100,45248
100,37819
100,38822
100,29683
100,28017
100,33558
100,30925
100,29267
100,31644
100,32928
100,29663
100,31233
100,37423
100,35193
100,28945
100,42669
100,30734
100,29580
100,26468
100,26821
100,46829
100,34196
100,32920
100,37216
100,43148
100,28658
100,29170
100,44550
100,38556
100,31502
100,44510
100,30964
100,34948
100,32722
100,46980
100,54515
100,44871
100,39914
100,47541
100,33426
100,42806
100,26695
100,44841
100,29179
100,25624
100,29130
100,38923
100,35750
100,38093
100,31174
100,31528
100,58543
100,39374
100,39731
100,30109
100,29680
100,35486
100,29733
100,32682
100,28662
100,27953
100,42142
100,30149
100,38325
100,33638
100,33855
100,36503
100,37085
100,35969
100,29276
100,33848
100,31755
100,34330
100,30003
100,43093
100,33687
100,34718
100,49778
100,29958
100,40867
100,25149
100,32464
100,35536
100,29445
100,38259
100,35183
100,33687
100,35486
100,34586
100,28443
100,29969
100,31720
100,27993
100,33544
100,35811
100,30350
100,41123
100,38622
100,26334
100,32258
100,30263
100,65335
100,45750
100,48968
100,34126
100,30559
100,31297
100,29527
100,25478
100,33679
100,35857
100,26544
100,41139
100,40531
100,34875
100,43750
100,36570
100,30772
100,26090
100,35417
100,26013
100,32358
100,30127
100,34452
100,39283
100,35778
100,28895
100,46031
100,28135
100,35506
100,34960
100,47720
100,31583
100,33583
100,34437
100,32478
100,44875
100,32096
100,32700
100,36381
100,36728
100,27466
100,31285
100,27700
100,37599
100,27038
100,38495
100,34760
100,36308
100,44545
100,27118
100,33252
100,37944
100,29079
100,32759
100,29258
100,41922
100,39700
100,29723
100,33520
100,32864
100,26310
100,31521
100,85201
100,32618
100,30717
100,41446
100,26645
100,33337
100,37949
100,32700
100,29328
100,32410
100,39583
100,33089
100,32813
100,31151
100,30548
100,27741
100,37871
100,33767
100,29347
100,33421
100,33415
100,35495
100,39647
100,34057
100,33965
100,37199
100,24875
100,27932
100,35738
100,34107
100,26773
100,27261
100,31563
100,31867
100,36381
100,26129
100,29719
100,42095
100,29295
100,35685
100,29189
100,30476
100,27202
100,31968
100,43457
100,33593
100,38070
100,33589
100,33651
100,48881
100,29951
100,33684
100,29089
100,48140
100,34425
100,37046
100,31039
100,30242
100,33428
100,40606
100,32273
100,29644
100,28986
100,35039
100,28086
100,29709
100,40368
100,28912
100,31522
100,42229
100,46987
100,35564
100,33546
100,34109
100,28396
100,26048
100,28926
100,57535
100,31662
100,30839
100,38440
100,39775
100,39860
100,29357
100,39434
100,44200
100,33230
100,30478
100,31899
100,60982
100,32204
100,29408
100,34075
100,34010
100,33680
100,28809
100,34243
100,31998
100,44490
100,89384
100,31380
100,29969
100,32115
100,32042
100,31468
100,30214
100,32758
100,26191
100,33707
100,35690
100,40147
100,29781
100,25181
100,47094
100,59685
100,27350
100,39251
100,36811
100,37957
100,36178
100,34660
100,31438
100,40190
100,44599
100,36715
100,45047
100,33438
100,35630
100,29826
100,28368
100,38507
100,38179
100,32629
100,26707
100,36675
100,30008
100,29648
100,30379
100,33266
100,29886
100,34691
100,34362
100,35913
100,56316
100,30278
100,32831
100,33040
100,46107
100,35880
100,38095
100,30176
100,27708
100,33936
100,36179
100,29496
100,32692
100,28117
100,29492
100,29525
100,28429
100,30673
100,30046
100,33723
100,38744
100,35351
100,37960
100,31018
100,26021
100,32718
100,38214
100,36738
100,36161
100,32742
100,33730
100,32811
100,27675
100,28699
100,32615
100,34506
100,32498
100,95993
100,30379
100,36364
200,117671
200,98518
200,96195
200,108648
200,104565
200,97061
200,108897
200,126343
200,103330
200,226775
200,100640
200,123944
200,136035
200,87842
200,107033
200,123795
200,122438
200,102888
200,134396
200,123767
200,144370
200,97238
200,123498
200,144299
200,114150
200,151485
200,87264
200,174697
200,95351
200,128091
200,190412
200,138823
200,100129
200,214524
200,132610
200,210547
200,136478
200,172550
200,111861
200,89458
200,96338
200,186750
200,166211
200,154133
200,107466
200,125164
200,108094
200,146324
200,100798
200,174573
200,106745
200,172751
200,113561
200,98976
200,104998
200,97128
200,97183
200,151111
200,125450
200,132113
200,111650
200,105381
200,113417
200,105284
200,181469
200,98207
200,105502
200,125843
200,95385
200,157601
200,105754
200,251559
200,99744
200,118464
200,92613
200,101348
200,112845
200,146815
200,123544
200,97119
200,124824
200,104908
200,119081
200,126207
200,120112
200,139988
200,94059
200,134981
200,104684
200,117041
200,111732
200,149631
200,138000
200,149020
200,145139
200,109623
200,99713
200,109331
200,121600
200,93898
200,97117
200,150947
200,113410
200,155442
200,94593
200,98587
200,102509
200,117898
200,115524
200,111087
200,103379
200,114694
200,109404
200,115132
200,162887
200,98832
200,102172
200,99679
200,102799
200,94450
200,106616
200,104499
200,123188
200,111246
200,119239
200,93761
200,84860
200,95684
200,127776
200,136840
200,103659
200,256002
200,111016
200,99077
200,101385
200,120144
200,107644
200,134233
200,137160
200,91750
200,89867
200,124531
200,152114
200,108352
200,134987
200,121675
200,122738
200,182264
200,104272
200,122794
200,103440
200,108758
200,90712
200,113607
200,116585
200,103234
200,116800
200,109651
200,118768
200,108197
200,95583
200,100940
200,118630
200,111236
200,212304
200,391857
200,100087
200,124822
200,110412
200,140337
200,121236
200,142784
200,101445
200,153080
200,100974
200,123399
200,105870
200,107931
200,113980
200,99184
200,132755
200,105144
200,124269
200,130427
200,110039
200,94516
200,121633
200,128220
200,107907
200,111994
200,114245
200,99305
200,133617
200,98291
200,234232
200,98767
200,94468
200,200213
200,112998
200,130964
200,96498
200,99940
200,107662
200,86232
200,152269
200,111965
200,129032
200,124216
200,115270
200,92103
200,134594
200,94305
200,110020
200,133323
200,97419
200,99543
200,109755
200,109519
200,131933
200,112682
200,117623
200,131173
200,103811
200,94578
200,243186
200,98277
200,101069
200,100894
200,143020
200,111089
200,131936
200,93542
200,99972
200,120753
200,113424
200,100430
200,134253
200,126433
200,106421
200,115736
200,121378
200,201225
200,184792
200,95767
200,126142
200,111752
200,116751
200,142740
200,109559
200,136842
200,89493
200,112867
200,88230
200,111367
200,116572
200,120123
200,117463
