n,iters
100,1015
100,1024
100,1078
100,997
100,956
100,1009
100,1008
100,993
100,997
100,1008
100,1016
100,1009
100,987
100,1041
100,1025
100,967
100,1018
100,1026
100,1008
100,1022
100,994
100,1018
100,1004
100,979
100,1074
100,1001
100,980
100,995
100,1011
100,1046
100,1069
100,1026
100,1070
100,998
100,1038
100,1040
100,1016
100,1012
100,1066
100,1030
100,1079
100,1033
100,1022
100,1069
100,1056
100,1025
100,1015
100,1030
100,938
100,1014
100,1042
100,1075
100,1069
100,1019
100,1101
100,1030
100,1013
100,1043
100,974
100,974
100,1047
100,1066
100,1033
100,1046
100,1065
100,1002
100,1008
100,1058
100,1018
100,1011
100,1024
100,1020
100,976
100,1009
100,982
100,1042
100,1018
100,1027
100,1018
100,1014
100,999
100,996
100,995
100,1069
100,1018
100,1013
100,1062
100,1020
100,1042
100,1002
100,988
100,1005
100,1057
100,1012
100,1093
100,1001
100,996
100,1076
100,1048
100,1038
100,1060
100,1003
100,1032
100,1017
100,973
100,1066
100,1036
100,1045
100,1079
100,1025
100,1035
100,978
100,1014
100,1068
100,970
100,968
100,993
100,989
100,1066
100,1007
100,1036
100,1014
100,1083
100,953
100,1032
100,1034
100,1014
100,1056
100,1062
100,1010
100,1048
100,1025
100,1010
100,1067
100,997
100,994
100,1011
100,1037
100,1027
100,1019
100,1012
100,953
100,1059
100,986
100,1019
100,1022
100,1041
100,1007
100,1045
100,1032
100,1025
100,1008
100,1044
100,1019
100,975
100,1013
100,1022
100,1013
100,1034
100,994
100,1042
100,995
100,986
100,974
100,1041
100,1004
100,1024
100,1052
100,1019
100,1006
100,1047
100,1049
100,1072
100,1005
100,1019
100,988
100,996
100,1064
100,978
100,1029
100,1008
100,1004
100,1000
100,1071
100,973
100,1012
100,995
100,996
100,997
100,1031
100,1043
100,1004
100,1070
100,1022
100,1011
100,1065
100,1023
100,1032
100,1036
100,1025
100,1013
100,1060
100,1026
100,1005
100,1007
100,1070
100,992
100,1063
100,1054
100,1003
100,993
100,1027
100,969
100,1032
100,1013
100,990
100,1064
100,1072
100,1016
100,1037
100,987
100,988
100,1018
100,1016
100,1050
100,1026
100,1034
100,1056
100,1029
100,1041
100,1082
100,1059
100,1004
100,1012
100,995
100,1034
100,1027
100,1047
100,967
100,1004
100,1021
100,1034
100,962
100,992
100,979
100,1081
100,1030
100,1027
100,1068
100,1037
100,1032
100,968
100,999
100,1072
100,999
100,1038
100,1024
100,1017
100,1001
100,1028
100,987
100,1039
100,1037
100,992
100,1022
100,1028
100,1018
100,1035
100,1010
100,1044
100,1037
100,1039
100,1000
100,1057
100,1032
100,999
100,1070
100,1040
100,1076
100,1001
100,1008
100,1021
100,1029
100,1035
100,1010
100,1000
100,971
100,1070
100,993
100,984
100,1009
100,1087
100,1073
100,1015
100,1034
100,1037
100,1060
100,1010
100,1033
100,1032
100,1044
100,1022
100,1066
100,1034
100,1015
100,1057
100,1000
100,995
100,1085
100,1000
100,1032
100,1058
100,1037
100,1020
100,1033
100,1007
100,1034
100,1027
100,985
100,1030
100,1071
100,1038
100,1008
100,983
100,1015
100,1009
100,1086
100,1001
100,1044
100,998
100,1006
100,1004
100,1005
100,1064
100,999
100,1061
100,1029
100,1044
100,999
100,1058
100,1012
100,1013
100,1016
100,1016
100,1013
100,1021
100,1049
100,1042
100,983
100,1075
100,1001
100,1033
100,1000
100,989
100,972
100,1073
100,955
100,987
100,981
100,1010
100,1012
100,1032
100,1037
100,1045
100,1049
100,1056
100,1070
100,1049
100,1024
100,1023
100,1071
100,1052
100,1027
100,992
100,1067
100,1012
100,1053
100,1032
100,963
100,1012
100,1036
100,1019
100,969
100,996
100,1027
100,969
100,1019
100,1046
100,994
100,1050
100,999
100,978
100,1026
100,1030
100,1023
100,1068
100,1028
100,1053
100,1025
100,945
100,1068
100,1006
100,1022
100,1025
100,1051
100,1042
100,985
100,1047
100,1011
100,1027
100,1043
100,1060
100,1008
100,1089
100,969
100,981
100,1004
100,984
100,1058
100,1018
100,979
100,988
100,995
100,1024
100,1044
100,1003
100,986
100,1022
100,1005
100,961
100,1041
100,1049
100,1008
100,980
100,996
100,1076
100,968
100,1026
100,1023
100,1048
100,992
100,1049
100,1009
100,1043
100,961
100,992
100,1006
100,1022
100,1007
100,1025
100,1016
100,1009
100,1038
100,1016
100,1068
100,1022
100,990
100,1005
100,1032
100,1002
100,990
100,984
100,1059
100,1016
100,1063
100,1007
100,1066
100,1026
100,1050
100,982
100,1020
100,1055
100,994
100,1009
100,982
100,1024
100,1022
100,1061
100,954
100,1001
100,1041
100,1023
100,1057
100,1039
100,974
100,1035
100,1006
100,991
100,1047
100,1072
100,1007
100,1047
100,987
100,990
100,1087
100,1018
100,1017
100,1044
100,978
100,1015
200,1992
200,2053
200,2125
200,2115
200,1996
200,2130
200,2086
200,2041
200,2027
200,2073
200,2094
200,2101
200,2050
200,2075
200,2063
200,2096
200,2029
200,2139
200,2198
200,2007
200,2047
200,2065
200,2050
200,2066
200,2023
200,2032
200,2089
200,2075
200,2142
200,2096
200,2055
200,2054
200,2024
200,2019
200,2163
200,2060
200,2088
200,2105
200,1992
200,2075
200,2003
200,2012
200,2032
200,2031
200,2072
200,2167
200,2059
200,1992
200,2086
200,2089
200,2132
200,2075
200,2113
200,2105
200,2064
200,2080
200,2088
200,2018
200,2125
200,2060
200,2071
200,2071
200,2039
200,2053
200,2058
200,2094
200,1988
200,2047
200,2104
200,2101
200,2036
200,2105
200,2049
200,2096
200,2016
200,2098
200,2046
200,1982
200,2107
200,2110
200,2006
200,2059
200,2125
200,1998
200,2000
200,2110
200,2092
200,2036
200,2131
200,2060
200,2089
200,2059
200,2153
200,2051
200,2087
200,2070
200,2013
200,2003
200,2035
200,2022
200,2078
200,2123
200,2029
200,2046
200,2123
200,2044
200,2043
200,2118
200,2060
200,2022
200,2066
200,2081
200,2092
200,2083
200,2101
200,2047
200,2009
200,2132
200,2058
200,2102
200,2034
200,2036
200,2064
200,2111
200,2073
200,1983
200,2089
200,2008
200,2044
200,2095
200,2037
200,2048
200,2040
200,2082
200,2079
200,1995
200,2034
200,1984
200,2075
200,2093
200,2014
200,2069
200,2087
200,2075
200,2094
200,2047
200,1970
200,2022
200,1959
200,2005
200,2069
200,2124
200,2037
200,2136
200,2116
200,2153
200,2049
200,2107
200,2030
200,2027
200,2102
200,2073
200,2068
200,2157
200,2121
200,2085
200,2004
200,2099
200,2107
200,2065
200,2056
200,2043
200,2090
200,2092
200,2132
200,2052
200,2075
200,2006
200,2156
200,2048
200,2100
200,2024
200,2089
200,2116
200,1998
200,2037
200,2061
200,2103
200,2067
200,2015
200,2057
200,2106
200,2121
200,2159
200,2118
200,2085
200,2113
200,2095
200,2075
200,2085
200,2068
200,2094
200,2065
200,2107
200,2012
200,2056
200,2081
200,2066
200,2045
200,2043
200,2011
200,2073
200,2101
200,2097
200,2098
200,2086
200,2021
200,1981
200,2102
200,2121
200,2050
200,2084
200,2007
200,2096
200,2068
200,1991
200,2128
200,2103
200,2136
200,2025
200,2017
200,2079
200,2042
200,2019
200,2121
200,2057
200,2114
200,2106
200,2083
200,2066
200,2121
200,2074
200,2023
200,2002
200,2025
200,2087
200,2074
200,2074
200,2039
200,2037
200,2010
200,2122
200,1999
200,2116
200,2028
200,2095
200,2046
200,1997
200,2128
200,2098
200,2059
200,2099
200,2186
200,2064
200,2000
200,2125
200,2087
200,2041
200,2093
200,2057
200,2073
200,2028
200,2050
200,2009
200,2081
200,2078
200,2109
200,2099
200,2038
200,2180
200,2015
200,2060
200,2056
200,2134
200,1997
200,2077
200,2146
200,2191
200,1975
200,2081
200,2082
200,1986
200,2104
200,2035
200,2115
200,2023
200,2104
200,2066
200,2070
200,2071
200,2103
200,2002
200,2034
200,2053
200,2097
200,2105
200,2175
200,2019
200,2076
200,2068
200,2107
200,2113
200,2139
200,2096
200,2081
200,2030
200,2027
200,2038
200,2093
200,2104
200,2047
200,2075
200,2074
200,2105
200,2182
200,2066
200,2069
200,2026
200,2069
200,2085
200,2080
200,2041
200,2106
200,2022
200,2002
200,2019
200,2077
200,2184
200,2079
200,2060
200,2076
200,2178
200,2091
200,2078
200,2147
200,2029
200,2051
200,2109
200,2003
200,2027
200,2079
200,2037
200,2048
200,2047
200,2064
200,2040
200,2041
200,2107
200,2103
200,2048
200,2109
200,2083
200,2064
200,2102
200,2035
200,2058
200,2107
200,2066
200,1972
200,2082
200,2055
200,2077
200,2088
200,2072
200,2061
200,1987
200,2056
200,2053
200,2061
200,2121
200,2022
200,2078
200,2066
200,2091
200,2066
200,2077
200,2069
200,2056
200,2071
200,2042
200,2123
200,2084
200,2097
200,2066
200,2083
200,2041
200,2031
200,2055
200,2078
200,2095
200,1999
200,2082
200,2044
200,2082
200,2103
200,2089
200,2161
200,2008
200,2065
200,2076
200,2124
200,2058
200,2081
200,2013
200,2059
200,2063
200,2065
200,2147
200,2037
200,2091
200,2073
200,2033
200,2111
200,2025
200,2096
200,2097
200,2179
200,2032
200,2110
200,1998
200,2104
200,2054
200,1964
200,2039
200,2011
200,1982
200,2087
200,2091
200,2055
200,2153
200,2084
200,1999
200,2119
200,2085
200,2116
200,2063
200,2093
200,2096
200,2076
200,2094
200,2021
200,2139
200,2090
200,2076
200,2062
200,2124
200,2116
200,2017
200,2090
200,2066
200,2112
200,2100
200,2077
200,2088
200,2093
200,2108
200,2138
200,2074
200,2083
200,2037
200,2062
200,2132
200,2026
200,2049
200,2065
200,2106
200,2091
200,2162
200,2096
200,2060
200,2052
200,2100
200,2106
200,2055
200,2077
200,2039
200,2085
200,1964
200,2096
200,2124
200,2082
200,2099
200,2103
200,1971
200,2053
200,2089
200,2097
200,2010
200,2075
200,2069
300,3208
300,3222
300,3159
300,3200
300,3275
300,3275
300,3234
