n,empty,max_load
100,40,5
100,37,4
100,38,5
100,40,4
100,36,4
100,37,4
100,41,4
100,32,4
100,37,5
100,40,3
100,37,5
100,33,4
100,40,6
100,41,4
100,33,5
100,33,4
100,40,4
100,36,3
100,28,3
100,35,7
100,37,4
100,37,4
100,40,4
100,37,5
100,32,4
100,39,5
100,40,5
100,33,4
100,38,4
100,33,3
100,38,4
100,36,4
100,39,5
100,37,5
100,40,4
100,40,5
100,31,4
100,37,5
100,37,4
100,39,4
100,29,5
100,36,4
100,38,4
100,31,6
100,39,4
100,41,5
100,33,3
100,36,4
100,31,6
100,38,5
100,36,4
100,42,5
100,40,5
100,37,3
100,37,5
100,36,3
100,35,4
100,39,5
100,35,4
100,36,4
100,43,5
100,38,4
100,40,5
100,35,4
100,36,5
100,34,3
100,32,4
100,38,4
100,40,6
100,38,4
100,37,6
100,35,4
100,36,4
100,40,4
100,35,5
100,36,4
100,34,4
100,37,4
100,36,4
100,43,5
100,34,3
100,38,4
100,41,4
100,40,4
100,41,7
100,37,5
100,37,4
100,39,4
100,32,4
100,39,5
100,34,5
100,38,5
100,31,4
100,33,4
100,38,5
100,32,6
100,36,5
100,31,4
100,33,4
100,38,4
100,37,3
100,36,4
100,37,3
100,33,3
100,37,5
100,31,4
100,38,4
100,33,5
100,41,4
100,32,4
100,39,4
100,36,4
100,36,6
100,38,5
100,36,3
100,43,4
100,33,4
100,35,4
100,32,5
100,39,5
100,35,5
100,38,4
100,31,3
100,39,4
100,35,3
100,34,5
100,38,5
100,34,4
100,39,4
100,41,5
100,38,5
100,38,4
100,40,4
100,37,4
100,36,4
100,34,5
100,36,3
100,29,3
100,41,4
100,38,6
100,43,4
100,36,4
100,40,4
100,36,5
100,41,4
100,38,5
100,37,3
100,31,5
100,39,4
100,37,4
100,38,5
100,40,4
100,36,4
100,36,4
100,44,5
100,36,4
100,37,4
100,40,5
100,38,3
100,35,5
100,34,4
100,41,5
100,38,4
100,37,5
100,35,3
100,36,3
100,38,4
100,37,4
100,37,5
100,36,4
100,35,4
100,35,4
100,35,5
100,33,4
100,30,3
100,33,3
100,34,3
100,42,5
100,43,4
100,41,5
100,36,5
100,37,4
100,39,5
100,40,4
100,38,4
100,36,3
100,38,5
100,38,4
100,40,5
100,35,4
100,31,4
100,34,4
100,37,4
100,39,4
100,37,4
100,38,3
100,38,4
100,36,4
100,44,4
100,39,4
100,28,4
100,37,4
100,43,5
100,39,4
100,33,4
100,37,4
100,36,4
100,34,4
100,37,4
100,38,6
100,38,4
100,36,4
100,35,4
100,40,3
100,34,3
100,34,3
100,37,4
100,42,5
100,35,4
100,36,5
100,37,4
100,40,4
100,39,5
100,29,4
100,35,4
100,40,5
100,40,5
100,37,5
100,38,4
100,39,6
100,37,4
100,33,4
100,36,5
100,35,4
100,39,4
100,34,5
100,35,4
100,35,4
100,39,5
100,34,4
100,37,3
100,37,4
100,34,4
100,41,4
100,35,4
100,36,5
100,36,5
100,33,4
100,38,5
100,35,4
100,41,4
100,36,4
100,37,6
100,41,5
100,38,5
100,32,4
100,36,3
100,33,4
100,31,4
100,40,4
100,36,3
100,39,5
100,33,4
100,39,4
100,38,5
100,35,4
100,31,5
100,37,4
100,36,5
100,36,4
100,38,5
100,36,4
100,36,5
100,40,4
100,37,3
100,42,6
100,42,5
100,37,4
100,33,4
100,39,5
100,35,5
100,36,3
100,40,4
100,42,5
100,37,5
100,36,4
100,38,6
100,40,5
100,36,5
100,42,5
100,35,3
100,36,4
100,40,4
100,32,4
100,35,4
100,40,4
100,36,4
100,39,4
100,35,4
100,40,4
100,32,4
100,40,5
100,37,3
100,34,4
100,37,5
100,30,3
100,35,4
100,32,5
100,33,4
100,36,5
100,29,5
100,34,5
100,37,4
100,40,4
100,36,4
100,40,4
100,35,4
100,34,4
100,36,5
100,39,5
100,35,4
100,41,4
100,40,5
100,34,4
100,37,4
100,36,4
100,32,4
100,42,5
100,36,5
100,35,4
100,37,4
100,35,4
100,41,5
100,36,4
100,35,5
100,39,7
100,41,5
100,40,4
100,38,5
100,35,5
100,37,4
100,38,7
100,37,4
